source_gt,program,code,name_th,name_en,year,semester,pages
หมวดศึกษาทั่วไป (general_education),dsba,90642119,คอมพิวเตอร์ทางธุรกิจเพื่อพัฒนากระบวนการคิดเชิงวิเคราะห์,COMPUTER FOR DEVELOPMENT OF ANALYTICAL THINKING PROCESS,,,129;182;255
หมวดศึกษาทั่วไป (general_education),dsba,90642120,เอ็กเซลเพื่อความเป็นมืออาชีพ,FROM EXCEL TO EXCELLENT,,,129;182
หมวดศึกษาทั่วไป (general_education),dsba,90642121,การวิเคราะห์และจัดการข้อมูลด้วยโปรแกรมคอมพิวเตอร์,DATA ANALYSIS AND MANAGEMENT WITH COMPUTATIONAL PROGRAM,,,129;183;241;266
หมวดศึกษาทั่วไป (general_education),dsba,90642122,การใช้แอพลิเคชัน ไมโครคอมพิวเตอร์,INTRODUCTION TO MICROCOMPUTER APPLICATION,,,129;183;267
หมวดศึกษาทั่วไป (general_education),dsba,90642123,เทคโนโลยี คอมพิวเตอร์ดนตรี,TECHNOLOGY IN MUSICAL SEQUENCING,,,129;183;258
หมวดศึกษาทั่วไป (general_education),dsba,90642124,เทคโนโลยีและนวัตกรรมทางวิทยาศาสตร์สำหรับ SDGs,SCIENCE TECHNOLOGY AND SCIENCE INNOVATION FOR SDGS,,,129;183;255
หมวดศึกษาทั่วไป (general_education),dsba,90642125,การดำรงชีวิตท่ามกลางภัยพิบัติและวิกฤตในอนาคต,LIVING IN FUTURE DISASTER AND CRISIS,,,129;184;267
หมวดศึกษาทั่วไป (general_education),dsba,90642126,วิชาเอาตัวรอด,SURVIVORS,,,129;184;267
หมวดศึกษาทั่วไป (general_education),dsba,90642127,รักษ์โลก,THINK EARTH,,,129;184;254;267
หมวดศึกษาทั่วไป (general_education),dsba,90642128,นิเวศวิทยาและการรักษาสิ่งแวดล้อม,"ECOLOGY, CONSERVATION AND ENVIRONMENTALISM",,,129;185;267
หมวดศึกษาทั่วไป (general_education),dsba,90642129,การท่องเที่ยวทางเลือก,ALTERNATIVE TOURISM,,,130;185
หมวดศึกษาทั่วไป (general_education),dsba,90642130,การท่องเที่ี่ยวเชิงกีฬา,SPORTS TOURISM,,,130;185;267
หมวดศึกษาทั่วไป (general_education),dsba,90642131,วัฒนธรรมไทยกับการท่องเที่ยว,THAI CULTURE AND TOURISM,,,130;185;257;267
หมวดศึกษาทั่วไป (general_education),dsba,90642132,ชุมพรศึกษาเพื่อการท่องเที่ยว,CHUMPHON STUDY FOR TOURISM,,,130;186;258;267
หมวดศึกษาทั่วไป (general_education),dsba,90642133,รอบรั้วชุมพรศึกษา,CHUMPHON AREA STUDY,,,130;186
หมวดศึกษาทั่วไป (general_education),dsba,90642134,แผ่นดินพระจอมเกล้าฯศึกษา,KING MONGKUT'S REIGN STUDY,,,130;186;267
หมวดศึกษาทั่วไป (general_education),dsba,90642135,ปรัชญาเศรษฐกิจพอเพียง,PHILOSOPHY OF SUFFICIENCY ECONOMY,,,130;187;258
หมวดศึกษาทั่วไป (general_education),dsba,90642136,จริยศาสตร์และสุนทรียศาสตร์,ETHICS AND AESTHETICS,,,130;187
หมวดศึกษาทั่วไป (general_education),dsba,90642137,ดูละครแล้วย้อนตัว,SERIES IN DAILY LIFE,,,130;187;267
หมวดศึกษาทั่วไป (general_education),dsba,90642138,สมาธิเพื่อพัฒนาชีวิต,MEDITATION FOR LIFE DEVELOPMENT,,,130;187;267
หมวดศึกษาทั่วไป (general_education),dsba,90642139,การฟื้นฟูพลังใจ,RESILIENCE QUOTIENT,,,130;188;ocr273
หมวดศึกษาทั่วไป (general_education),dsba,90642140,ภูมิคุุ้มกันทางใจ,IMMUNITY OF MIND,,,130;188;ocr273
หมวดศึกษาทั่วไป (general_education),dsba,90642141,จิตวิทยาเพื่อการพัฒนาตนเอง,PSYCHOLOGY OF SELF-DEVELOPMENT,,,130;188;ocr273
หมวดศึกษาทั่วไป (general_education),dsba,90642142,จิตวิทยาสำหรับสื่อสาร,PSYCHOLOGY IN COMMUNICATION,,,130;188;ocr273
หมวดศึกษาทั่วไป (general_education),dsba,90642143,ชีวิตออกแบบได้,DESIGNING YOUR LIFE,,,130;189
หมวดศึกษาทั่วไป (general_education),dsba,90642144,กระจกส่องใจ,MAGIC MIRROR,,,130;189;ocr273
หมวดศึกษาทั่วไป (general_education),dsba,90642145,พลังแห่งบุคลิกภาพ,POWER OF PERSONALITY,,,130;189;ocr273
หมวดศึกษาทั่วไป (general_education),dsba,90642146,เปลี่ยนความคิด ชีวิตเปลี่ยน,POWER OF CHANGE,,,130;189;ocr273
หมวดศึกษาทั่วไป (general_education),dsba,90642147,ทักษะแห่งความสุข,HAPPINESS SKILLS,,,130;190;ocr273
หมวดศึกษาทั่วไป (general_education),dsba,90642148,ศิลปะการพัฒนาอารมณ์,ARTS OF EMOTION DEVELOPMENT,,,131;190
หมวดศึกษาทั่วไป (general_education),dsba,90642149,ศิลปะการสร้างสรรค์เพื่อพัฒนาอารมณ์และจิตวิญญาณ,IMAGINATIVE ART,,,131;190;258
หมวดศึกษาทั่วไป (general_education),dsba,90642150,ศิลปะในชีวิตประจำวัน,ART IN EVERYDAY LIFE,,,131;191;ocr273
หมวดศึกษาทั่วไป (general_education),dsba,90642151,มนุษย์กับศิลปะ,MAN AND ART,,,131;191;ocr273
หมวดศึกษาทั่วไป (general_education),dsba,90642152,ปันสุข,JOY OF SHARING,,,131;191;ocr273
หมวดศึกษาทั่วไป (general_education),dsba,90642153,ความเข้าใจในพฤติกรรมมนุษย์,UNDERSTANDING HUMAN BEHAVIOR,,,131;192;ocr273
หมวดศึกษาทั่วไป (general_education),dsba,90642154,ล้มให้เป็น,FAIL-ABLE,,,131;192;ocr273
หมวดศึกษาทั่วไป (general_education),dsba,90642155,การสร้างมนุษย์สัมพันธ์กับการสื่อสาร,HUMAN RELATIONSHIP AND COMMUNICATION,,,131;192;ocr273
หมวดศึกษาทั่วไป (general_education),dsba,90642156,ฮวงจุ้ย,FENG SHUI,,,131;192;ocr273
หมวดศึกษาทั่วไป (general_education),dsba,90642157,โหราศาสตร์ไทย,THAI ASTROLOGY,,,131;193;269
หมวดศึกษาทั่วไป (general_education),dsba,90642158,มุมมองของวิทยาศาสตร์และเทคโนโลยีร่วมสมัย,COMTEMPORARY SCIENCE AND TECHNOLOGY,,,131;193;243;269
หมวดศึกษาทั่วไป (general_education),dsba,90642159,จิตวิทยาเบื้องต้น,INTRODUCTION TO PSYCHOLOGY,,,131;193;269
หมวดศึกษาทั่วไป (general_education),dsba,90643001,ปฎิบัติงานตามทักษะด้านการจัดการ 1,PRACTICE UNDER MANAGEMENT SKILL 1,,,131;194;269
หมวดศึกษาทั่วไป (general_education),dsba,90643002,ปฎิบัติงานตามทักษะด้านการจัดการ 2,PRACTICE UNDER MANAGEMENT SKILL 2,,,131;194;269
หมวดศึกษาทั่วไป (general_education),dsba,90643003,ปฎิบัติงานตามทักษะด้านการจัดการ 3,PRACTICE UNDER MANAGEMENT SKILL 3,,,131;194
หมวดศึกษาทั่วไป (general_education),dsba,90643004,ผู้นำพลังบวก,POSITIVE POWER LEADER,,,131;194;269
หมวดศึกษาทั่วไป (general_education),dsba,90643005,นักเปลี่ยนโลก,THE DISRUPTOR,,,131;195;269
หมวดศึกษาทั่วไป (general_education),dsba,90643006,การจัดการและผู้นำสมัยใหม่,MODERN MANAGEMENT AND LEADERSHIP,,,131;195;254;255;258;269
หมวดศึกษาทั่วไป (general_education),dsba,90643007,ภาวะผู้นำสำหรับคนรุ่นใหม่,NEXT GEN LEADERSHIP,,,132;195;269
หมวดศึกษาทั่วไป (general_education),dsba,90643008,ศาสตร์การต่อรอง,SCIENCE OF NEGOTIATION,,,132;195;269
หมวดศึกษาทั่วไป (general_education),dsba,90643009,การตลาดยุคคอนเทนท์,CONTENT MARKETING,,,132;196;269
หมวดศึกษาทั่วไป (general_education),dsba,90643010,การตลาดร่วมสมัย,CONTEMPORARY MARKETING,,,132;196;269
หมวดศึกษาทั่วไป (general_education),dsba,90643011,ศิลปะแห่งการบริหารการสื่อสาร,ART OF COMMUNICATION MANAGEMENT,,,132;196;254;269
หมวดศึกษาทั่วไป (general_education),dsba,90643012,การทำงานเป็นทีม,TEAMWORK,,,132;197;269
หมวดศึกษาทั่วไป (general_education),dsba,90643013,การจัดการเชิงอุตสาหกรรม,INDUSTRIAL MANAGEMENT,,,132;197;269
หมวดศึกษาทั่วไป (general_education),dsba,90643014,ความรู้ทั่วไปเกี่ยวกับธุรกิจ,GENERAL BUSINESS,,,132;197
หมวดศึกษาทั่วไป (general_education),dsba,90643015,การบัญชีทางธุรกิจสำหรับคนรุ่นใหม่,BUSINESS ACCOUNTING FOR NEW GEN,,,132;198;210;255
หมวดศึกษาทั่วไป (general_education),dsba,90643016,สนุกกับธุรกิจออนไลน์,FUN WITH ONLINE BUSINESS,,,132;198;257
หมวดศึกษาทั่วไป (general_education),dsba,90643017,ลีนสตาร์ทอัพและแนวคิดธุรกิจแบบคล่องตัว,LEAN STARTUP AND AGILE BUSINESS,,,132;198;210
หมวดศึกษาทั่วไป (general_education),dsba,90643018,ธุรกิจระหว่างประเทศ,INTERNATIONAL BUSINESS,,,132;198;210
หมวดศึกษาทั่วไป (general_education),dsba,90643019,เศรษฐศาสตร์กับการเป็นผู้ประกอบการ,ECONOMICS AND ENTREPRENEURSHIP,,,132;199;210
หมวดศึกษาทั่วไป (general_education),dsba,90643020,นักพัฒนาธุรกิจสร้างสรรค์,INNOVATIVE ENTREPRENEURS,,,132;199;210
หมวดศึกษาทั่วไป (general_education),dsba,90643021,ผู้ประกอบการสมัยใหม่,MODERN ENTREPRENEURS,,,14;26;33;132;199;253;255;256;351
หมวดศึกษาทั่วไป (general_education),dsba,90643022,ผู้ประกอบการทางสังคม,SOCIAL ENTREPRENEURS,,,132;199;210
หมวดศึกษาทั่วไป (general_education),dsba,90643023,ผู้ประกอบการเทคโนโลยี,TECHNOPRENEURS,,,132;200;210
หมวดศึกษาทั่วไป (general_education),dsba,90643024,ฟาร์มสุข,HAPPINESS FARMS,,,132;200;254
หมวดศึกษาทั่วไป (general_education),dsba,90643025,เส้นทางสู่ IPO,ROAD TO IPO,,,132;200;210
หมวดศึกษาทั่วไป (general_education),dsba,90643026,การวางแผนเพื่อการลงทุน,INVESTMENT PLANNING,,,133;201;210;254;256
