category,question,answer,source_pages,article_no
รายวิชา,วิชา OPTIMIZATION (06026210) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 2 ภาคการศึกษาที่ 2 หน่วยกิต 3(3-0-6),16;320;352,
รายวิชา,วิชา MANAGEMENT INFORMATION SYSTEMS (06066102) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 2 ภาคการศึกษาที่ 2 หน่วยกิต 3(3-0-6),16;71;316;351,
รายวิชา,วิชา DATA STRUCTURES AND ALGORITHMS (06066301) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 2 ภาคการศึกษาที่ 2 หน่วยกิต 3(2-2-5),16;31;71;317;351,
รายวิชา,วิชา APPLIED MACHINE LEARNING (06026211) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 3 ภาคการศึกษาที่ 1 หน่วยกิต 3(2-2-5),16;66;321;352,
รายวิชา,วิชา DATA WAREHOUSING (06026212) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 3 ภาคการศึกษาที่ 1 หน่วยกิต 3(2-2-5),16;25;321;352,
รายวิชา,"วิชา ELECTIVE IN DATA SCIENCE
ELECTIVE IN STATISTICAL ANALYSIS 1
ELECTIVE IN DATA ENGINEERING 1 (06026xxx) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 3 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6) หรือ 3(2-2-5),25;26;27;32,
รายวิชา,"วิชา ELECTIVE IN DATA SCIENCE 2
ELECTIVE IN STATISTICAL ANALYTICS 2
ELECTIVE IN DATA ENGINEERING 2 (06026xxx) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 3 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6) หรือ 3(2-2-5),25;26;27;32,
รายวิชา,วิชา ELECTIVE IN GENERAL EDUCATION (9064xxxx) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 3 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6) หรือ 3(2-2-5),351,
รายวิชา,"วิชา PROFESSIONAL COMMUNICATION AND
PRESENTATION (90644042) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 3 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6),14;25;32;135;216;256;257;274;351,
รายวิชา,วิชา BIG DATA SYSTEMS (06026213) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 3 ภาคการศึกษาที่ 2 หน่วยกิต 3(2-2-5),16;26;67;322,
รายวิชา,"วิชา PROJECT IN DATA SCIENCE AND BUSINESS
ANALYTICS 1 (06026214) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 3 ภาคการศึกษาที่ 2 หน่วยกิต 3(0-9-0),17;26;33;67;322;323;352,
รายวิชา,"วิชา ELECTIVE IN DATA SCIENCE 3
ELECTIVE IN STATISTICAL ANALYTICS 3
ELECTIVE IN DATA ENGINEERING 3 (06026xxx) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 3 ภาคการศึกษาที่ 2 หน่วยกิต 3(3-0-6) หรือ 3(2-2-5),25;26;27;32,
รายวิชา,"วิชา ELECTIVE IN DATA SCIENCE 4
ELECTIVE IN STATISTICAL ANALYTICS 4
ELECTIVE IN DATA ENGINEERING 4 (06026xxx) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 3 ภาคการศึกษาที่ 2 หน่วยกิต 3(3-0-6) หรือ 3(2-2-5),25;26;27;32,
รายวิชา,"วิชา INFORMATION TECHNOLOGY PROJECT
MANAGEMENT (06066100) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 3 ภาคการศึกษาที่ 2 หน่วยกิต 3(3-0-6),15;26;33;71;351,
รายวิชา,วิชา MODERN ENTREPRENEURS (90643021) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 3 ภาคการศึกษาที่ 2 หน่วยกิต 3(3-0-6),14;26;33;132;199;253;255;256;351,
รายวิชา,"วิชา PROJECT IN DATA SCIENCE AND BUSINESS
ANALYTICS 2 (06026215) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 4 ภาคการศึกษาที่ 1 หน่วยกิต 3(0-9-0),17;27;34;67;323;352,
รายวิชา,วิชา ELECTIVE IN GENERAL EDUCATION (9064xxxx) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 4 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6) หรือ 3(2-2-5),351,
รายวิชา,วิชา ARTIFICIAL INTELLIGENCE (06026216) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),17;323;352,
รายวิชา,วิชา MACHINE LEARNING (06026217) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),17;324;352,
รายวิชา,วิชา DEEP LEARNING (06026218) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(2-2-5),17;67;324;352,
รายวิชา,วิชา NATURAL LANGUAGE PROCESSING (06026219) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),17;67;324;352,
รายวิชา,วิชา PROCESS MINING (06026220) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),17;67;325;352,
รายวิชา,วิชา INFORMATION RETRIEVAL (06026221) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),17;67;325;352,
รายวิชา,วิชา COMPUTER VISION (06026222) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),17;326;352,
รายวิชา,วิชา IMAGE PROCESSING (06026223) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),17;326;352,
รายวิชา,วิชา IMAGE TRANSFORMATION AND RECOGNITION (06026224) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),17;67;326;352,
รายวิชา,"วิชา DEEP LEARNING IN MEDICAL IMAGE AND VIDEO
ANALYSIS (06026225) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(2-2-5),17;68;327;352,
รายวิชา,วิชา SPECIAL TOPICS IN DATA SCIENCE 1 (06026226) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),17;327;352,
รายวิชา,วิชา SPECIAL TOPICS IN DATA SCIENCE 2 (06026227) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),17;68;328;352,
รายวิชา,วิชา SPECIAL WORKSHOP IN DATA SCIENCE 1 (06026228) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(2-2-5),18;68;328;353,
รายวิชา,วิชา SPECIAL WORKSHOP IN DATA SCIENCE 2 (06026229) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(2-2-5),18;68;328;353,
รายวิชา,วิชา TIME SERIES AND FORECASTING (06026230) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),18;328;353,
รายวิชา,วิชา BAYESIAN STATISTICS (06026231) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),18;329;353,
รายวิชา,วิชา INTRODUCTION TO STOCHASTIC PROCESS (06026232) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),18;329;353,
รายวิชา,วิชา MULTIVARIATE DATA ANALYSIS (06026233) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),18;68;329;353,
รายวิชา,วิชา EXPERIMENTAL DESIGN (06026234) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),18;330;353,
รายวิชา,วิชา SPECIAL TOPICS IN STATISTICAL ANALYTICS 1 (06026235) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),18;68;330;353,
รายวิชา,วิชา SPECIAL TOPICS IN STATISTICAL ANALYTICS 2 (06026236) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),18;68;330;353,
รายวิชา,วิชา SPECIAL WORKSHOP IN STATISTICAL ANALYTICS 1 (06026237) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(2-2-5),18;331;353,
รายวิชา,วิชา SPECIAL WORKSHOP IN STATISTICAL ANALYTICS 2 (06026238) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(2-2-5),18;69;331;353,
รายวิชา,วิชา DATA PIPELINE ARCHITECTURE (06026239) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),18;331;353,
รายวิชา,วิชา INTELLIGENT SYSTEM DEVELOPMENT (06026240) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(2-2-5),18;332;353,
รายวิชา,วิชา MACHINE LEARNING OPERATIONS (06026241) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),18;69;332;353,
รายวิชา,วิชา CLOUD TECHNOLOGY INFRASTRUCTURE (06026242) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),18;332;353,
รายวิชา,วิชา ADVANCED DATABASE SYSTEMS (06026243) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),19;333;353,
รายวิชา,"วิชา DATABASE SYSTEM MAINTENANCE AND
ADMINISTRATION (06026244) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(2-2-5),19;333,
รายวิชา,วิชา DISTRIBUTED DATABASE SYSTEMS (06026245) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),19;334;353,
รายวิชา,วิชา SPECIAL TOPICS IN DATA ENGINEERING 1 (06026246) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),19;69;334;353,
รายวิชา,วิชา SPECIAL TOPICS IN DATA ENGINEERING 2 (06026247) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),19;69;334;353,
รายวิชา,วิชา SPECIAL WORKSHOP IN DATA ENGINEERING 1 (06026248) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(2-2-5),19;335;353,
รายวิชา,วิชา SPECIAL WORKSHOP IN DATA ENGINEERING 2 (06026249) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(2-2-5),19;69;335;353,
รายวิชา,วิชา DATA SCIENCE FOR BUSINESS (06026250) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(2-2-5),19;70;335;353,
รายวิชา,วิชา FINANCIAL ACCOUNTING (06026251) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),19;336;353,
รายวิชา,วิชา FINANCIAL ANALYTICS (06026252) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(2-2-5),19;70;336;354,
รายวิชา,วิชา MARKETING ANALYTICS (06026253) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(2-2-5),19;70;336;354,
รายวิชา,วิชา INTRODUCTION TO HEALTH ANALYTICS (06026254) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(2-2-5),19;337;354,
รายวิชา,วิชา CLINICAL DATA ACQUISITION AND MANAGEMENT (06026255) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(2-2-5),19;337;354,
รายวิชา,วิชา OPERATIONS MANAGEMENT (06026256) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),19;70;338;354,
รายวิชา,"วิชา BUSINESS STRATEGIC AND PERFORMANCE
MANAGEMENT (06026257) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),20;70;338;354,
รายวิชา,วิชา SOCIAL NETWORK ANALYSIS (06026258) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 3(3-0-6),20;70;339;354,
รายวิชา,"วิชา COOPERATIVE EDUCATION IN DATA
SCIENCE AND BUSINESS ANALYTICS (06026259) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 6(0-35-0),20;34;70;339;354,
รายวิชา,"วิชา OVERSEA COOPERATIVE EDUCATION IN DATA
SCIENCE AND BUSINESS ANALYTICS (06026260) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 0 ภาคการศึกษาที่ 0 หน่วยกิต 6(0-35-0),20;34;69;70;339;354,
รายวิชา,วิชา CALCULUS 1 (06026200) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน no_coop),ปี 1 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6),15;28;66;312;351,
รายวิชา,วิชา LINEAR ALGEBRA (06026202) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน no_coop),ปี 1 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6),15;67;313;351,
รายวิชา,"วิชา BUSINESS FUNDAMENTALS FOR INFORMATION
TECHNOLOGY (06066101) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน no_coop)",ปี 1 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6),15;21;28;71;315;316;351,
รายวิชา,"วิชา PROBLEM SOLVING AND COMPUTER
PROGRAMMING (06066303) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน no_coop)",ปี 1 ภาคการศึกษาที่ 1 หน่วยกิต 3(2-2-5),16;21;71;317;351,
รายวิชา,วิชา CHARM SCHOOL (90641001) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน no_coop),ปี 1 ภาคการศึกษาที่ 1 หน่วยกิต 2(1-2-3),14;121;123;149;232;260;350,
รายวิชา,วิชา SPORTS AND RECREATIONAL ACTIVITIES (90641003) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน no_coop),ปี 1 ภาคการศึกษาที่ 1 หน่วยกิต 1(0-3-2),14;121;123;149;232;260;350,
รายวิชา,วิชา FOUNDATION ENGLISH 1 (90644007) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน no_coop),ปี 1 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6),14;121;134;207;211;350,
